always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,2,1,5,,7,10,1,vd12401,Combinational,,0,2,5,2,0,4,4,2
3,2,7,5,9,13,10,1,fifo,Counter,21,2,43,47,0,3,12,12,0
3,0,9,5,,6,10,1,multiplier_block,Arithmetic,,0,3,10,0,1,10,10,0
3,6,7,5,4,13,10,1,fifo,Combinational,8,0,14,22,0,5,12,12,0
3,0,1,5,,14,10,1,counter,Counter,3,0,8,11,0,1,4,4,0
3,0,4,5,3,11,10,1,multiplier_8bit,Sequential,1,0,6,11,0,0,7,7,0
3,6,16,5,,16,10,1,uart_rx,Memory,53,1,95,93,0,12,12,20,0
3,1,4,5,,12,10,1,switch,Sequential,,0,3,9,1,0,8,8,0
3,0,3,5,,9,10,1,mux_2to1,Combinational,1,0,1,4,0,0,4,6,0
3,0,9,5,2,10,10,2,up_counter,Arithmetic,3,1,7,12,0,1,11,12,0
3,0,2,5,,9,10,1,mux_4to1_enable,Combinational,13,0,16,19,0,0,8,8,0
3,0,3,5,,14,10,1,shift_register,Memory,1,0,2,7,0,0,6,7,0
3,3,8,5,,13,10,1,fifo_buffer,Combinational,,0,,,0,3,11,13,0
3,0,4,5,4,9,10,1,divider,Combinational,4,0,12,13,0,2,5,5,0
3,0,21,5,,11,10,1,PLL_DLL,Arithmetic,,0,,,0,5,17,25,0
3,8,6,5,,9,10,1,top_module,Combinational,1,0,13,17,0,0,10,10,0
3,0,3,5,,10,10,1,signExt,Combinational,1,0,1,2,0,0,2,4,0
3,0,12,5,,10,10,1,priority_encoder,Control,1,0,7,11,0,0,6,16,0
3,0,2,5,,6,10,1,nor_buf,Combinational,,1,3,7,2,0,5,5,0
3,3,4,5,,10,10,1,full_adder,Combinational,,0,7,10,2,0,5,7,2
3,64,2,5,4,14,10,1,rising_edge_detector,Sequential,35,32,1,4,0,0,5,5,0
3,0,19,5,,7,10,4,adder_32bit,Arithmetic,,0,1,3,0,2,21,21,0
3,0,4,5,4,12,10,1,memory_interface,Memory,8,0,14,18,0,0,7,9,0
